Solver command line: ['/projects/sems/install/rhel6-x86_64/pyomo/utility/baron/18.5.9/bin/baron', '/tmp/tmp942i3H.pyomo.bar']

===========================================================================
 BARON version 18.5.9. Built: LNX-64 Wed May 9 23:08:52 EDT 2018 

 BARON is a product of The Optimization Firm, LLC. http://www.minlp.com/
 Licensee: John Siirola at Sandia National Laboratories, jdsiiro@sandia.gov.

 If you use this software, please cite publications from
 http://www.minlp.com/about-baron, such as: 

 Kilinc, M. and N. V. Sahinidis, Exploiting integrality in the global
 optimization of mixed-integer nonlinear programming problems in BARON,
 Optimization Methods and Software, 33, 540-562, 2018.
===========================================================================
 This BARON run may utilize the following subsolver(s)
 For LP/MIP: ILOG CPLEX                                      
 For NLP: IPOPT, FILTERSD, FILTERSQP
===========================================================================
 Doing local search
 Preprocessing found feasible solution with value  13.6528578553     
 Solving bounding LP
 Starting multi-start local search
 Done with local search
===========================================================================
  Iteration    Open nodes         Time (s)    Lower bound      Upper bound
      80266         58514         37275.26     13.5472          13.6408    
      80348         58577         37311.97     13.5472          13.6408    
      80447         58655         37342.04     13.5472          13.6408    
      80516         58706         37372.19     13.5472          13.6408    
      80586         58750         37402.26     13.5472          13.6408    
      80647         58792         37433.00     13.5472          13.6408    
      80746         58860         37463.30     13.5472          13.6408    
      80782         58886         37493.54     13.5472          13.6408    
      80850         58935         37523.75     13.5472          13.6408    
      80942         59006         37560.70     13.5472          13.6408    
      81041         59074         37614.20     13.5472          13.6408    
      81138         59143         37644.26     13.5472          13.6408    
      81191         59181         37674.53     13.5472          13.6408    
      81267         59238         37704.71     13.5472          13.6408    
      81342         59293         37736.85     13.5472          13.6408    
      81438         59361         37767.12     13.5472          13.6408    
      81489         59398         37797.30     13.5472          13.6408    
      81542+        59439         37831.71     13.5472          13.6408    
      81637         59514         37861.96     13.5472          13.6408    
      81695         59558         37892.15     13.5472          13.6408    
      81761         59610         37922.26     13.5472          13.6408    
      81843         59674         37957.90     13.5472          13.6408    
      81936         59742         37988.17     13.5472          13.6408    
      81995         59785         38018.25     13.5472          13.6408    
      82064         59837         38048.26     13.5472          13.6408    
      82137+        59889         38078.26     13.5472          13.6408    
      82226         59947         38108.50     13.5472          13.6408    
      82299         59996         38138.60     13.5472          13.6408    
      82344         60028         38168.74     13.5472          13.6408    
      82430         60093         38206.63     13.5472          13.6408    
      82530         60164         38236.73     13.5472          13.6408    
      82594         60211         38266.87     13.5472          13.6408    
      82658         60254         38297.19     13.5472          13.6408    
      82728+        60306         38336.22     13.5472          13.6408    
      82818         60375         38366.24     13.5472          13.6408    
      82885         60423         38396.51     13.5472          13.6408    
      82952         60469         38426.53     13.5472          13.6408    
      83030         60526         38469.89     13.5472          13.6408    
      83127         60599         38499.98     13.5472          13.6408    
      83175         60631         38529.99     13.5472          13.6408    
      83244         60683         38560.27     13.5472          13.6408    
      83325         60741         38601.17     13.5472          13.6408    
      83422         60810         38641.78     13.5472          13.6408    
      83519         60890         38671.98     13.5472          13.6408    
      83578         60931         38702.05     13.5472          13.6408    
      83632         60964         38732.35     13.5472          13.6408    
      83724         61037         38768.67     13.5472          13.6408    
      83819         61100         38798.80     13.5472          13.6408    
      83852         61132         38828.89     13.5472          13.6408    
      83922         61182         38865.92     13.5472          13.6408    
      84021         61251         38896.12     13.5472          13.6408    
      84090         61301         38926.15     13.5472          13.6408    
      84143         61340         38956.19     13.5472          13.6408    
      84222         61397         39006.16     13.5472          13.6408    
      84317         61466         39036.39     13.5472          13.6408    
      84379         61513         39066.52     13.5472          13.6408    
      84435         61554         39096.52     13.5472          13.6408    
      84522         61622         39133.52     13.5472          13.6408    
      84618         61699         39163.74     13.5472          13.6408    
      84686         61746         39193.84     13.5472          13.6408    
      84764         61806         39224.15     13.5472          13.6408    
      84840         61858         39254.18     13.5472          13.6408    
      84920         61913         39293.68     13.5472          13.6408    
      85015         61980         39323.78     13.5472          13.6408    
      85043         61999         39353.80     13.5472          13.6408    
      85122         62051         39393.92     13.5472          13.6408    
      85222         62125         39424.17     13.5472          13.6408    
      85257         62147         39454.29     13.5472          13.6408    
      85321         62197         39485.69     13.5472          13.6408    
      85416         62272         39515.73     13.5472          13.6408    
      85495         62333         39545.81     13.5472          13.6408    
      85547         62372         39576.05     13.5472          13.6408    
      85621         62424         39622.16     13.5472          13.6408    
      85719         62491         39652.39     13.5472          13.6408    
      85776         62535         39682.41     13.5472          13.6408    
      85829         62572         39712.56     13.5472          13.6408    
      85923         62642         39752.83     13.5472          13.6408    
      86023         62717         39791.42     13.5472          13.6408    
      86122         62784         39821.55     13.5472          13.6408    
      86194         62835         39851.60     13.5472          13.6408    
      86248         62874         39881.68     13.5472          13.6408    
      86324         62928         39920.71     13.5472          13.6408    
      86421         63001         39950.83     13.5472          13.6408    
      86432         63009         39980.85     13.5472          13.6408    
      86520+        63073         40014.92     13.5472          13.6408    
      86594         63126         40045.13     13.5472          13.6408    
      86668         63183         40075.17     13.5472          13.6408    
      86718         63218         40105.29     13.5472          13.6408    
      86814         63288         40135.41     13.5472          13.6408    
      86852         63319         40165.50     13.5472          13.6408    
      86921         63372         40195.78     13.5472          13.6408    
      87017         63435         40226.06     13.5472          13.6408    
      87053         63464         40256.10     13.5472          13.6408    
      87118         63514         40288.82     13.5472          13.6408    
      87213         63582         40318.92     13.5472          13.6408    
      87252         63609         40348.99     13.5472          13.6408    
      87331         63670         40379.01     13.5472          13.6408    
      87414+        63726         40412.95     13.5472          13.6408    
      87508         63794         40443.02     13.5472          13.6408    
      87578         63848         40473.24     13.5472          13.6408    
      87634         63888         40503.31     13.5472          13.6408    
      87710         63943         40533.55     13.5472          13.6408    
      87806         64014         40578.53     13.5472          13.6408    
      87904         64093         40608.75     13.5472          13.6408    
      87979         64149         40638.79     13.5472          13.6408    
      88042         64194         40668.80     13.5472          13.6408    
      88124         64252         40699.01     13.5472          13.6408    
      88208         64311         40731.19     13.5472          13.6408    
      88306         64378         40761.35     13.5472          13.6408    
      88355         64411         40791.57     13.5472          13.6408    
      88419         64456         40821.74     13.5472          13.6408    
      88507         64518         40862.19     13.5472          13.6408    
      88604         64589         40892.23     13.5472          13.6408    
      88648         64622         40922.33     13.5472          13.6408    
      88710         64669         40952.49     13.5472          13.6408    
      88798+        64732         40988.41     13.5472          13.6408    
      88896         64808         41018.55     13.5472          13.6408    
      88956         64853         41048.81     13.5472          13.6408    
      89020         64896         41079.01     13.5472          13.6408    
      89100         64955         41115.77     13.5472          13.6408    
      89196         65022         41145.91     13.5472          13.6408    
      89257         65068         41176.00     13.5472          13.6408    
      89298         65098         41208.09     13.5472          13.6408    
      89397         65172         41255.22     13.5472          13.6408    
      89490         65248         41296.17     13.5472          13.6408    
      89587         65320         41344.98     13.5472          13.6408    
      89684         65396         41386.62     13.5472          13.6408    
      89782         65473         41438.54     13.5472          13.6408    
      89877         65545         41474.89     13.5472          13.6408    
      89972         65616         41516.90     13.5472          13.6408    
      90067         65691         41547.05     13.5472          13.6408    
      90083         65703         41577.18     13.5472          13.6408    
      90168         65767         41608.71     13.5472          13.6408    
      90265         65838         41638.81     13.5472          13.6408    
      90325         65883         41669.04     13.5472          13.6408    
      90378         65924         41699.31     13.5472          13.6408    
      90465         65990         41744.13     13.5472          13.6408    
      90562         66069         41785.21     13.5472          13.6408    
      90658         66144         41815.48     13.5472          13.6408    
      90672         66154         41845.70     13.5472          13.6408    
      90760+        66224         41879.80     13.5472          13.6408    
      90836         66281         41910.02     13.5472          13.6408    
      90906         66329         41940.08     13.5472          13.6408    
      90966         66375         41970.11     13.5472          13.6408    
      91062         66444         42011.19     13.5472          13.6408    
      91159         66518         42041.32     13.5472          13.6408    
      91212         66557         42071.59     13.5472          13.6408    
      91283         66606         42101.84     13.5472          13.6408    
      91364         66664         42134.77     13.5472          13.6408    
      91462         66738         42164.93     13.5472          13.6408    
      91524         66783         42195.17     13.5472          13.6408    
      91597         66833         42225.24     13.5472          13.6408    
      91666         66882         42257.86     13.5472          13.6408    
      91761         66951         42288.06     13.5472          13.6408    
      91802         66982         42318.23     13.5472          13.6408    
      91865         67025         42350.49     13.5472          13.6408    
      91962         67090         42380.59     13.5472          13.6408    
      92041         67150         42410.73     13.5472          13.6408    
      92110         67195         42440.99     13.5472          13.6408    
      92167         67232         42471.24     13.5472          13.6408    
      92262         67297         42512.70     13.5472          13.6408    
      92359         67357         42542.84     13.5472          13.6408    
      92410         67391         42573.06     13.5472          13.6408    
      92494         67444         42603.06     13.5472          13.6408    
      92561         67484         42641.15     13.5472          13.6408    
      92657         67559         42671.26     13.5472          13.6408    
      92701         67593         42701.32     13.5472          13.6408    
      92771         67642         42731.53     13.5472          13.6408    
      92858+        67708         42766.07     13.5472          13.6408    
      92931         67763         42796.16     13.5472          13.6408    
      93004         67813         42826.24     13.5472          13.6408    
      93088         67871         42856.43     13.5472          13.6408    
      93169         67927         42886.65     13.5472          13.6408    
      93258         67995         42921.63     13.5472          13.6408    
      93358         68064         42951.66     13.5472          13.6408    
      93412         68106         42981.91     13.5472          13.6408    
      93479         68156         43012.10     13.5472          13.6408    
      93560         68214         43047.24     13.5472          13.6408    
      93657         68283         43077.26     13.5472          13.6408    
      93729         68340         43107.49     13.5472          13.6408    
      93765         68364         43137.67     13.5472          13.6408    
      93860         68441         43176.65     13.5472          13.6408    
      93935         68491         43200.00     13.5472          13.6408    

                    *** Max. allowable time exceeded ***      

 Wall clock time:                 43201.00
 Total CPU time used:             43200.00

 Total no. of BaR iterations:   93935
 Best solution found at node:   63664
 Max. no. of nodes in memory:   68491
 
 All done
===========================================================================

